review_id,employee_id,review_period,rating,promoted
REV00054,EMP0025,2023-H2,4,0
REV00055,EMP0025,2024-H1,3,0
REV00056,EMP0026,2024-H2,4,0
REV00057,EMP0027,2022-H1,3,0
REV00058,EMP0027,2024-H2,5,0
REV00059,EMP0028,2023-H1,4,0
REV00060,EMP0029,2022-H2,4,0
REV00061,EMP0029,2023-H1,5,1
REV00062,EMP0029,2022-H1,4,0
REV00063,EMP0029,2023-H2,1,0
REV00064,EMP0031,2024-H2,4,0
REV00065,EMP0032,2023-H1,5,0
REV00066,EMP0032,2023-H2,1,0
REV00067,EMP0032,2024-H1,4,0
REV00068,EMP0033,2024-H1,3,0
REV00069,EMP0033,2024-H2,4,0
REV00070,EMP0033,2022-H2,5,0
REV00071,EMP0033,2022-H1,4,0
REV00072,EMP0034,2023-H2,3,0
REV00073,EMP0034,2024-H1,5,0
REV00074,EMP0035,2024-H1,4,0
REV00075,EMP0035,2023-H2,3,0
REV00076,EMP0036,2023-H1,5,0
REV00077,EMP0036,2024-H1,3,0
REV00078,EMP0037,2023-H2,4,0
REV00079,EMP0037,2024-H1,4,0
REV00080,EMP0038,2024-H1,4,0
REV00081,EMP0038,2023-H1,3,0
REV00082,EMP0038,2024-H2,4,0
REV00083,EMP0039,2023-H2,4,0
REV00084,EMP0039,2024-H1,4,0
REV00085,EMP0039,2022-H1,3,0
REV00086,EMP0039,2023-H1,1,0
REV00087,EMP0040,2024-H2,4,0
REV00088,EMP0040,2023-H2,4,0
REV00089,EMP0041,2023-H2,3,0
REV00090,EMP0041,2024-H2,4,0
REV00091,EMP0042,2024-H2,4,0
REV00092,EMP0043,2022-H1,4,0
REV00093,EMP0044,2022-H2,3,0
REV00094,EMP0044,2022-H1,3,0
REV00095,EMP0044,2024-H1,4,0
REV00096,EMP0044,2023-H1,5,0
REV00097,EMP0045,2024-H1,3,0
REV00098,EMP0045,2024-H2,1,0
REV00099,EMP0046,2023-H2,3,0
REV00100,EMP0047,2024-H2,5,1
REV00101,EMP0048,2023-H1,4,0
REV00102,EMP0048,2023-H2,5,0
REV00103,EMP0048,2024-H1,4,0
REV00104,EMP0049,2023-H2,4,0
REV00105,EMP0049,2023-H1,3,0
REV00106,EMP0050,2022-H2,2,0
REV00107,EMP0050,2024-H2,3,0
REV00108,EMP0050,2024-H1,3,0
REV00109,EMP0051,2023-H2,3,0
REV00110,EMP0051,2022-H2,3,0
REV00111,EMP0052,2024-H2,4,0
REV00112,EMP0052,2023-H1,4,0
REV00113,EMP0052,2023-H2,4,0
REV00114,EMP0053,2022-H1,4,0
REV00115,EMP0054,2024-H1,4,0
REV00116,EMP0054,2023-H2,3,0
REV00117,EMP0054,2023-H1,3,0
REV00118,EMP0054,2022-H2,4,0
REV00119,EMP0055,2024-H2,4,0
REV00120,EMP0055,2023-H2,4,0
REV00121,EMP0056,2024-H2,3,0
REV00122,EMP0057,2022-H1,4,0
REV00123,EMP0057,2022-H2,4,0
REV00124,EMP0058,2023-H1,5,0
REV00125,EMP0058,2022-H2,5,0
REV00126,EMP0058,2024-H2,1,0
REV00127,EMP0059,2024-H2,4,0
REV00128,EMP0059,2022-H2,4,0
REV00129,EMP0060,2023-H2,5,0
REV00130,EMP0060,2024-H2,4,0
REV00131,EMP0061,2023-H2,3,0
REV00132,EMP0061,2023-H1,4,0
REV00133,EMP0061,2024-H1,4,0
REV00134,EMP0062,2024-H2,3,0
REV00135,EMP0062,2024-H1,4,0
REV00136,EMP0063,2023-H1,5,0
REV00137,EMP0063,2024-H1,3,0
REV00138,EMP0063,2022-H1,2,0
REV00139,EMP0064,2024-H2,4,0
REV00140,EMP0065,2024-H2,3,0
REV00141,EMP0066,2022-H2,3,0
REV00142,EMP0067,2024-H2,4,0
REV00143,EMP0067,2023-H1,4,0
REV00144,EMP0067,2022-H1,5,1
REV00145,EMP0067,2022-H2,3,0
REV00146,EMP0068,2024-H1,4,0
REV00147,EMP0068,2022-H1,5,0
REV00148,EMP0069,2023-H2,4,0
REV00149,EMP0069,2024-H2,3,0
REV00150,EMP0069,2024-H1,4,0
REV00151,EMP0070,2024-H2,4,0
REV00152,EMP0070,2024-H1,3,0
REV00153,EMP0070,2023-H2,4,0
REV00154,EMP0070,2022-H1,4,0
REV00155,EMP0071,2022-H2,5,0
REV00156,EMP0071,2022-H1,3,0
REV00157,EMP0072,2022-H2,2,0
REV00158,EMP0072,2024-H2,2,0
REV00159,EMP0073,2024-H1,4,0
REV00160,EMP0073,2023-H1,2,0
REV00161,EMP0074,2024-H2,4,0
REV00162,EMP0074,2023-H2,3,0
REV00163,EMP0074,2023-H1,3,0
REV00164,EMP0075,2024-H2,2,0
REV00165,EMP0076,2023-H2,2,0
REV00166,EMP0076,2023-H1,5,0
REV00167,EMP0076,2022-H1,3,0
REV00168,EMP0076,2022-H2,4,0
REV00169,EMP0077,2024-H2,1,0
REV00170,EMP0078,2022-H2,4,0
REV00171,EMP0078,2023-H2,5,0
REV00172,EMP0079,2024-H1,4,0
REV00173,EMP0079,2023-H1,2,0
REV00174,EMP0079,2022-H1,3,0
REV00175,EMP0080,2022-H1,4,0
REV00176,EMP0080,2024-H2,3,0
REV00177,EMP0080,2024-H1,3,0
REV00178,EMP0081,2023-H2,4,0
REV00179,EMP0081,2022-H1,3,0
REV00180,EMP0082,2023-H2,4,0
REV00181,EMP0083,2022-H1,4,0
REV00182,EMP0083,2022-H2,5,0
REV00183,EMP0083,2023-H2,4,0
REV00184,EMP0083,2024-H2,4,0
REV00185,EMP0084,2024-H2,4,0
REV00186,EMP0084,2023-H1,2,0
REV00187,EMP0084,2024-H1,3,0
REV00188,EMP0085,2022-H2,4,0
REV00189,EMP0085,2022-H1,1,0
REV00190,EMP0085,2024-H2,4,0
REV00191,EMP0085,2023-H1,3,0
REV00192,EMP0086,2023-H1,3,0
REV00193,EMP0086,2024-H2,2,0
REV00194,EMP0086,2024-H1,2,0
REV00195,EMP0086,2022-H1,2,0
REV00196,EMP0087,2023-H1,4,0
REV00197,EMP0087,2023-H2,5,0
REV00198,EMP0088,2024-H1,4,0
REV00199,EMP0088,2024-H2,4,0
REV00200,EMP0088,2023-H2,5,0
REV00201,EMP0089,2024-H2,5,0
REV00202,EMP0089,2023-H2,3,0
REV00203,EMP0090,2023-H2,5,0
REV00204,EMP0090,2022-H2,5,0
REV00205,EMP0090,2024-H1,4,0
REV00206,EMP0090,2022-H1,3,0
REV00207,EMP0091,2023-H2,4,0
REV00208,EMP0091,2022-H1,4,0
REV00209,EMP0091,2022-H2,5,0
REV00210,EMP0091,2023-H1,5,0
REV00211,EMP0092,2023-H1,5,0
REV00212,EMP0092,2022-H2,5,0
REV00213,EMP0093,2024-H1,4,0
REV00214,EMP0093,2024-H2,4,0
REV00215,EMP0093,2022-H2,3,0
REV00216,EMP0093,2023-H1,3,0
REV00217,EMP0094,2022-H2,1,0
REV00218,EMP0094,2024-H2,3,0
REV00219,EMP0095,2022-H2,4,0
REV00220,EMP0095,2023-H2,3,0
REV00221,EMP0095,2024-H1,4,0
REV00222,EMP0096,2024-H1,4,0
REV00223,EMP0096,2023-H1,5,0
REV00224,EMP0096,2023-H2,3,0
REV00225,EMP0096,2024-H2,3,0
REV00226,EMP0097,2023-H1,4,0
REV00227,EMP0097,2024-H2,3,0
REV00228,EMP0097,2022-H2,4,0
REV00229,EMP0098,2024-H2,3,0
REV00230,EMP0098,2024-H1,4,0
REV00231,EMP0098,2023-H2,3,0
REV00232,EMP0099,2024-H2,1,0
REV00233,EMP0100,2023-H2,4,0
REV00234,EMP0100,2022-H1,2,0
REV00235,EMP0100,2024-H2,5,0
REV00236,EMP0101,2022-H2,3,0
REV00237,EMP0101,2023-H2,1,0
REV00238,EMP0102,2023-H2,5,1
REV00239,EMP0102,2024-H1,4,0
REV00240,EMP0103,2024-H2,4,0
REV00241,EMP0104,2024-H2,4,0
REV00242,EMP0104,2023-H1,1,0
REV00243,EMP0105,2022-H2,4,0
REV00244,EMP0105,2022-H1,5,0
REV00245,EMP0105,2023-H1,4,0
REV00246,EMP0106,2024-H1,3,0
REV00247,EMP0106,2024-H2,4,0
REV00248,EMP0107,2023-H2,3,0
REV00249,EMP0108,2024-H2,5,0
REV00250,EMP0108,2023-H2,5,1
REV00251,EMP0108,2022-H2,5,1
REV00252,EMP0109,2024-H2,3,0
REV00253,EMP0109,2024-H1,3,0
REV00254,EMP0110,2023-H1,2,0
REV00255,EMP0110,2022-H1,3,0
REV00256,EMP0110,2024-H1,2,0
REV00257,EMP0110,2022-H2,3,0
REV00258,EMP0111,2023-H1,2,0
REV00259,EMP0111,2024-H2,3,0
REV00260,EMP0112,2024-H1,5,1
REV00261,EMP0113,2023-H1,3,0
REV00262,EMP0113,2024-H2,4,0
REV00263,EMP0113,2023-H2,3,0
REV00264,EMP0114,2024-H2,3,0
REV00265,EMP0114,2023-H2,4,0
REV00266,EMP0115,2023-H1,4,0
REV00267,EMP0115,2023-H2,3,0
REV00268,EMP0115,2024-H1,4,0
REV00269,EMP0115,2024-H2,4,0
REV00270,EMP0116,2022-H2,4,0
REV00271,EMP0116,2024-H1,4,0
REV00272,EMP0117,2022-H2,4,0
REV00273,EMP0117,2024-H1,2,0
REV00274,EMP0117,2023-H1,4,0
REV00275,EMP0117,2022-H1,4,0
REV00276,EMP0118,2022-H2,3,0
REV00277,EMP0118,2022-H1,3,0
REV00278,EMP0118,2024-H2,4,0
REV00279,EMP0119,2022-H1,4,0
REV00280,EMP0119,2024-H1,5,0
REV00281,EMP0119,2023-H1,4,0
REV00282,EMP0119,2023-H2,3,0
REV00283,EMP0120,2022-H2,4,0
REV00284,EMP0120,2023-H2,5,0
REV00285,EMP0122,2024-H2,4,0
REV00286,EMP0122,2023-H2,4,0
REV00287,EMP0123,2024-H1,2,0
REV00288,EMP0123,2023-H1,5,0
REV00289,EMP0123,2022-H2,4,0
REV00290,EMP0123,2022-H1,4,0
REV00291,EMP0124,2023-H1,3,0
REV00292,EMP0125,2023-H1,4,0
REV00293,EMP0125,2024-H1,3,0
REV00294,EMP0125,2023-H2,4,0
REV00295,EMP0126,2023-H1,5,0
REV00296,EMP0127,2023-H2,5,0
REV00297,EMP0127,2022-H2,4,0
REV00298,EMP0127,2023-H1,5,0
REV00299,EMP0128,2024-H2,4,0
REV00300,EMP0129,2024-H1,4,0
REV00301,EMP0129,2024-H2,3,0
REV00302,EMP0130,2022-H2,5,0
REV00303,EMP0130,2024-H2,4,0
REV00304,EMP0130,2023-H2,3,0
REV00305,EMP0131,2024-H2,1,0
REV00306,EMP0131,2024-H1,3,0
REV00307,EMP0132,2024-H2,4,0
REV00308,EMP0132,2022-H1,1,0
REV00309,EMP0132,2023-H2,4,0
REV00310,EMP0132,2022-H2,5,0
REV00311,EMP0133,2024-H2,4,0
REV00312,EMP0133,2024-H1,4,0
REV00313,EMP0134,2022-H1,4,0
REV00314,EMP0135,2023-H1,4,0
REV00315,EMP0135,2022-H1,5,1
REV00316,EMP0135,2024-H1,4,0
REV00317,EMP0135,2023-H2,4,0
REV00318,EMP0136,2024-H1,3,0
REV00319,EMP0136,2024-H2,1,0
REV00320,EMP0136,2023-H1,4,0
REV00321,EMP0136,2023-H2,3,0
REV00322,EMP0137,2022-H1,5,0
REV00323,EMP0138,2023-H2,4,0
REV00324,EMP0138,2024-H1,3,0
REV00325,EMP0139,2024-H1,5,1
REV00326,EMP0140,2024-H2,4,0
REV00327,EMP0140,2022-H1,3,0
REV00328,EMP0140,2024-H1,3,0
REV00329,EMP0141,2024-H2,2,0
REV00330,EMP0141,2023-H2,4,0
REV00331,EMP0142,2024-H1,2,0
REV00332,EMP0142,2023-H2,5,0
REV00333,EMP0143,2022-H2,4,0
REV00334,EMP0143,2023-H2,3,0
REV00335,EMP0143,2024-H2,4,0
REV00336,EMP0143,2022-H1,4,0
REV00337,EMP0144,2024-H2,5,0
REV00338,EMP0144,2022-H2,2,0
REV00339,EMP0144,2022-H1,5,1
REV00340,EMP0145,2024-H2,3,0
REV00341,EMP0146,2023-H2,5,0
REV00342,EMP0146,2023-H1,3,0
REV00343,EMP0147,2023-H1,4,0
REV00344,EMP0147,2024-H1,2,0
REV00345,EMP0148,2023-H2,4,0
REV00346,EMP0149,2023-H2,3,0
REV00347,EMP0149,2022-H2,2,0
REV00348,EMP0150,2023-H1,3,0
REV00349,EMP0150,2023-H2,3,0
REV00350,EMP0150,2022-H1,5,0
REV00351,EMP0150,2024-H1,5,0
REV00352,EMP0151,2024-H1,4,0
REV00353,EMP0151,2022-H2,4,0
REV00354,EMP0151,2024-H2,4,0
REV00355,EMP0151,2022-H1,4,0
REV00356,EMP0152,2024-H2,4,0
REV00357,EMP0152,2023-H2,4,0
REV00358,EMP0152,2024-H1,4,0
REV00359,EMP0152,2023-H1,5,0
REV00360,EMP0153,2024-H2,4,0
REV00361,EMP0154,2023-H1,5,0
REV00362,EMP0154,2024-H1,3,0
REV00363,EMP0154,2022-H1,4,0
REV00364,EMP0155,2023-H1,4,0
REV00365,EMP0155,2022-H1,3,0
REV00366,EMP0155,2022-H2,4,0
REV00367,EMP0156,2024-H1,4,0
REV00368,EMP0156,2024-H2,4,0
REV00369,EMP0156,2022-H2,3,0
REV00370,EMP0157,2023-H1,4,0
REV00371,EMP0157,2024-H2,3,0
REV00372,EMP0157,2022-H1,3,0
REV00373,EMP0158,2023-H2,4,0
REV00374,EMP0158,2022-H1,4,0
REV00375,EMP0159,2023-H2,3,0
REV00376,EMP0159,2024-H2,3,0
REV00377,EMP0160,2024-H2,3,0
REV00378,EMP0160,2023-H2,4,0
REV00379,EMP0160,2022-H2,4,0
REV00380,EMP0160,2022-H1,3,0
REV00381,EMP0161,2024-H2,2,0
REV00382,EMP0161,2024-H1,5,1
REV00383,EMP0162,2024-H2,4,0
REV00384,EMP0163,2024-H2,5,1
REV00385,EMP0164,2024-H2,4,0
REV00386,EMP0164,2023-H1,4,0
REV00387,EMP0164,2023-H2,4,0
REV00388,EMP0165,2022-H2,5,0
REV00389,EMP0165,2023-H1,3,0
REV00390,EMP0166,2022-H1,5,0
REV00391,EMP0167,2023-H1,4,0
REV00392,EMP0167,2022-H2,4,0
REV00393,EMP0168,2024-H2,5,0
REV00394,EMP0169,2022-H2,3,0
REV00395,EMP0169,2023-H1,4,0
REV00396,EMP0170,2024-H1,4,0
REV00397,EMP0170,2023-H2,5,0
REV00398,EMP0170,2024-H2,3,0
REV00399,EMP0171,2023-H2,3,0
REV00400,EMP0171,2022-H1,3,0
REV00401,EMP0171,2023-H1,4,0
REV00402,EMP0172,2023-H1,3,0
REV00403,EMP0172,2022-H1,5,1
REV00404,EMP0172,2023-H2,5,1
REV00405,EMP0173,2024-H2,4,0
REV00406,EMP0174,2023-H2,4,0
REV00407,EMP0174,2024-H2,4,0
REV00408,EMP0175,2023-H1,3,0
REV00409,EMP0175,2023-H2,4,0
REV00410,EMP0175,2024-H2,5,0
REV00411,EMP0175,2024-H1,4,0
REV00412,EMP0176,2024-H2,2,0
REV00413,EMP0177,2022-H1,4,0
REV00414,EMP0177,2024-H1,2,0
REV00415,EMP0177,2024-H2,4,0
REV00416,EMP0178,2022-H2,3,0
REV00417,EMP0179,2022-H1,5,1
REV00418,EMP0180,2024-H2,5,1
REV00419,EMP0181,2024-H2,5,0
REV00420,EMP0181,2023-H1,4,0
REV00421,EMP0181,2023-H2,4,0
REV00422,EMP0182,2022-H1,4,0
REV00423,EMP0182,2023-H2,4,0
REV00424,EMP0182,2022-H2,3,0
REV00425,EMP0183,2022-H2,4,0
REV00426,EMP0183,2023-H1,4,0
REV00427,EMP0184,2022-H2,3,0
REV00428,EMP0184,2023-H1,4,0
REV00429,EMP0185,2022-H2,3,0
REV00430,EMP0185,2024-H1,5,0
REV00431,EMP0186,2022-H2,5,0
REV00432,EMP0186,2023-H2,1,0
REV00433,EMP0186,2024-H1,4,0
REV00434,EMP0187,2024-H2,5,0
REV00435,EMP0188,2023-H1,5,0
REV00436,EMP0188,2024-H2,4,0
REV00437,EMP0188,2023-H2,3,0
REV00438,EMP0188,2022-H2,3,0
REV00439,EMP0189,2022-H1,4,0
REV00440,EMP0189,2024-H1,5,1
REV00441,EMP0189,2023-H1,5,0
REV00442,EMP0190,2024-H1,4,0
REV00443,EMP0190,2023-H2,3,0
REV00444,EMP0190,2024-H2,3,0
REV00445,EMP0191,2024-H2,3,0
REV00446,EMP0192,2023-H2,4,0
REV00447,EMP0192,2022-H1,4,0
REV00448,EMP0192,2024-H2,5,0
REV00449,EMP0193,2024-H1,5,0
REV00450,EMP0193,2022-H1,5,0
REV00451,EMP0194,2024-H2,4,0
REV00452,EMP0194,2024-H1,4,0
REV00453,EMP0195,2023-H1,4,0
REV00454,EMP0195,2024-H1,3,0
REV00455,EMP0195,2023-H2,3,0
REV00456,EMP0196,2024-H2,4,0
REV00457,EMP0196,2022-H1,4,0
REV00458,EMP0196,2022-H2,4,0
REV00459,EMP0196,2024-H1,3,0
REV00460,EMP0197,2022-H2,4,0
REV00461,EMP0197,2023-H1,1,0
REV00462,EMP0198,2024-H2,1,0
REV00463,EMP0199,2024-H2,4,0
REV00464,EMP0200,2023-H1,4,0
REV00465,EMP0200,2024-H2,4,0
REV00466,EMP0201,2024-H2,4,0
REV00467,EMP0202,2023-H1,3,0
REV00468,EMP0203,2022-H1,4,0
REV00469,EMP0203,2024-H1,4,0
REV00470,EMP0203,2023-H1,4,0
REV00471,EMP0204,2022-H2,3,0
REV00472,EMP0204,2023-H1,3,0
REV00473,EMP0204,2024-H2,3,0
REV00474,EMP0205,2022-H2,1,0
REV00475,EMP0205,2022-H1,4,0
REV00476,EMP0205,2024-H2,5,0
REV00477,EMP0206,2023-H1,5,0
REV00478,EMP0206,2024-H2,2,0
REV00479,EMP0207,2024-H1,3,0
REV00480,EMP0207,2022-H1,4,0
REV00481,EMP0208,2023-H2,2,0
REV00482,EMP0208,2023-H1,5,1
REV00483,EMP0208,2022-H2,4,0
REV00484,EMP0208,2024-H1,4,0
REV00485,EMP0209,2024-H2,5,0
REV00486,EMP0209,2023-H1,4,0
REV00487,EMP0210,2022-H1,4,0
REV00488,EMP0210,2024-H2,5,0
REV00489,EMP0210,2023-H1,3,0
REV00490,EMP0211,2024-H2,3,0
REV00491,EMP0212,2024-H1,4,0
REV00492,EMP0212,2023-H1,3,0
REV00493,EMP0212,2024-H2,2,0
REV00494,EMP0214,2023-H2,4,0
REV00495,EMP0214,2022-H2,4,0
REV00496,EMP0215,2023-H2,3,0
REV00497,EMP0215,2024-H2,4,0
REV00498,EMP0215,2023-H1,3,0
REV00499,EMP0216,2024-H2,4,0
REV00500,EMP0216,2023-H1,5,1
REV00501,EMP0216,2022-H2,3,0
REV00502,EMP0216,2023-H2,4,0
REV00503,EMP0217,2024-H1,5,0
REV00504,EMP0217,2024-H2,5,1
REV00505,EMP0218,2023-H1,5,0
REV00506,EMP0219,2024-H2,4,0
REV00507,EMP0219,2024-H1,5,0
REV00508,EMP0220,2022-H1,2,0
REV00509,EMP0220,2022-H2,3,0
REV00510,EMP0220,2023-H2,1,0
