salary_id,employee_id,salary_amount,effective_date
SAL00086,EMP0051,810017,2022-10-24
SAL00087,EMP0052,1724190,2022-06-19
SAL00088,EMP0052,1864250,2023-05-08
SAL00089,EMP0052,2148818,2024-05-01
SAL00090,EMP0053,764443,2019-01-23
SAL00091,EMP0053,895364,2019-12-29
SAL00092,EMP0054,1705154,2022-02-24
SAL00093,EMP0055,1134206,2021-06-18
SAL00094,EMP0055,1301975,2022-04-28
SAL00095,EMP0055,1531944,2023-06-07
SAL00096,EMP0056,821374,2024-06-12
SAL00097,EMP0057,1967978,2019-09-16
SAL00098,EMP0058,1570587,2019-09-18
SAL00099,EMP0059,489917,2018-10-18
SAL00100,EMP0059,576861,2019-11-13
SAL00101,EMP0060,1735506,2022-01-15
SAL00102,EMP0061,753784,2021-02-01
SAL00103,EMP0061,877595,2021-12-17
SAL00104,EMP0062,1092748,2024-01-15
SAL00105,EMP0063,722281,2018-11-17
SAL00106,EMP0064,410969,2024-10-20
SAL00107,EMP0065,2075360,2022-12-14
SAL00108,EMP0066,873736,2021-06-25
SAL00109,EMP0067,2331838,2018-02-16
SAL00110,EMP0068,2333011,2019-10-24
SAL00111,EMP0069,595813,2023-01-18
SAL00112,EMP0069,651354,2024-01-04
SAL00113,EMP0070,549818,2021-12-12
SAL00114,EMP0070,613472,2022-12-07
SAL00115,EMP0071,1142687,2020-05-13
SAL00116,EMP0071,1302241,2021-04-21
SAL00117,EMP0071,1423301,2022-04-24
SAL00118,EMP0072,1548228,2019-10-22
SAL00119,EMP0073,2408435,2020-05-19
SAL00120,EMP0073,2757854,2021-04-12
SAL00121,EMP0074,621107,2023-05-09
SAL00122,EMP0075,605288,2024-07-30
SAL00123,EMP0076,514150,2022-03-24
SAL00124,EMP0077,869729,2024-06-19
SAL00125,EMP0077,952661,2025-05-11
SAL00126,EMP0078,679556,2018-08-14
SAL00127,EMP0079,1613128,2021-12-22
SAL00128,EMP0080,519186,2020-11-16
SAL00129,EMP0080,574980,2021-11-29
SAL00130,EMP0081,2333691,2019-05-27
SAL00131,EMP0082,2489567,2019-06-17
SAL00132,EMP0083,694329,2020-06-12
SAL00133,EMP0083,778283,2021-04-17
SAL00134,EMP0084,590487,2020-06-11
SAL00135,EMP0085,2045880,2021-03-08
SAL00136,EMP0085,2358394,2022-03-04
SAL00137,EMP0086,981408,2020-08-10
SAL00138,EMP0086,1071899,2021-09-24
SAL00139,EMP0086,1214077,2022-09-01
SAL00140,EMP0087,2086176,2022-02-07
SAL00141,EMP0087,2373152,2023-02-10
SAL00142,EMP0087,2719229,2024-01-06
SAL00143,EMP0088,1008927,2023-10-06
SAL00144,EMP0088,1184679,2024-11-11
SAL00145,EMP0089,1751344,2020-06-25
SAL00146,EMP0090,654407,2021-01-15
SAL00147,EMP0090,743656,2021-11-14
SAL00148,EMP0091,639082,2020-02-04
SAL00149,EMP0091,693637,2021-01-09
SAL00150,EMP0092,839699,2020-06-24
SAL00151,EMP0093,673714,2019-05-23
SAL00152,EMP0093,757749,2020-06-16
SAL00153,EMP0094,1314854,2020-06-18
SAL00154,EMP0094,1485859,2021-04-19
SAL00155,EMP0095,1910410,2022-06-26
SAL00156,EMP0095,2127638,2023-07-07
SAL00157,EMP0096,2107998,2018-07-10
SAL00158,EMP0096,2311971,2019-08-08
SAL00159,EMP0097,1695053,2020-11-18
SAL00160,EMP0097,1987918,2021-10-23
SAL00161,EMP0097,2305883,2022-10-26
SAL00162,EMP0098,751019,2023-07-05
SAL00163,EMP0098,850240,2024-08-18
SAL00164,EMP0099,2098743,2024-07-23
SAL00165,EMP0099,2438338,2025-06-27
SAL00166,EMP0100,2078863,2021-07-01
SAL00167,EMP0100,2310077,2022-07-26
SAL00168,EMP0101,2252526,2020-08-06
SAL00169,EMP0101,2542176,2021-07-20
SAL00170,EMP0102,1751343,2023-04-24
SAL00171,EMP0102,1941806,2024-04-19
SAL00172,EMP0102,2119742,2025-03-08
SAL00173,EMP0103,660154,2024-10-27
SAL00174,EMP0104,870101,2022-10-09
SAL00175,EMP0104,1007613,2023-10-23
SAL00176,EMP0105,1177681,2021-10-11
SAL00177,EMP0106,1957169,2023-12-05
SAL00178,EMP0107,614185,2022-02-19
SAL00179,EMP0107,669384,2023-02-18
SAL00180,EMP0107,747964,2024-03-18
SAL00181,EMP0108,465907,2021-03-24
SAL00182,EMP0108,514624,2022-04-19
SAL00183,EMP0109,784449,2024-04-12
SAL00184,EMP0110,2290737,2020-12-29
SAL00185,EMP0110,2672846,2022-02-19
SAL00186,EMP0110,2984964,2022-12-30
SAL00187,EMP0111,1923616,2022-03-25
SAL00188,EMP0111,2215376,2023-04-26
SAL00189,EMP0111,2552178,2024-04-16
SAL00190,EMP0112,668481,2022-04-09
SAL00191,EMP0112,787703,2023-05-03
SAL00192,EMP0113,1180604,2019-01-15
SAL00193,EMP0114,636439,2018-11-02
SAL00194,EMP0115,672369,2023-01-01
SAL00195,EMP0115,736222,2023-12-27
SAL00196,EMP0116,707150,2021-02-17
SAL00197,EMP0117,2244606,2020-12-22
SAL00198,EMP0118,637790,2020-04-18
SAL00199,EMP0118,729415,2021-02-24
SAL00200,EMP0118,842112,2022-01-25
SAL00201,EMP0119,2025641,2018-06-27
SAL00202,EMP0120,2087082,2018-04-30
SAL00203,EMP0120,2320047,2019-02-25
SAL00204,EMP0121,643619,2024-12-21
SAL00205,EMP0122,1828220,2022-08-16
SAL00206,EMP0122,2013072,2023-08-20
SAL00207,EMP0123,524260,2021-04-28
SAL00208,EMP0123,594308,2022-05-09
SAL00209,EMP0123,677176,2023-04-03
SAL00210,EMP0124,642854,2022-11-10
SAL00211,EMP0124,747383,2023-09-30
SAL00212,EMP0125,467374,2020-02-05
SAL00213,EMP0126,563252,2019-11-15
SAL00214,EMP0126,650632,2020-10-26
SAL00215,EMP0127,1256209,2018-01-08
SAL00216,EMP0128,2263917,2024-10-18
SAL00217,EMP0129,1553799,2024-05-06
SAL00218,EMP0130,2309693,2019-10-16
SAL00219,EMP0130,2707673,2020-08-22
SAL00220,EMP0131,1946424,2024-01-10
SAL00221,EMP0131,2239866,2025-02-14
SAL00222,EMP0132,1150417,2020-09-11
SAL00223,EMP0132,1285310,2021-10-14
SAL00224,EMP0132,1512368,2022-08-14
SAL00225,EMP0133,687930,2024-03-08
SAL00226,EMP0133,789802,2025-01-16
SAL00227,EMP0134,560427,2021-07-21
SAL00228,EMP0135,642867,2020-04-13
SAL00229,EMP0136,3017884,2023-05-25
SAL00230,EMP0136,3531598,2024-04-24
SAL00231,EMP0137,2377078,2018-12-23
SAL00232,EMP0137,2711805,2019-12-31
SAL00233,EMP0138,1608009,2018-02-15
SAL00234,EMP0138,1822894,2019-01-14
SAL00235,EMP0138,2055504,2019-11-21
SAL00236,EMP0139,744407,2020-12-05
SAL00237,EMP0140,794366,2022-03-24
SAL00238,EMP0140,917941,2023-04-01
SAL00239,EMP0141,856244,2023-07-07
SAL00240,EMP0142,963149,2022-03-13
SAL00241,EMP0143,2329401,2019-10-20
SAL00242,EMP0144,1786486,2019-12-02
SAL00243,EMP0144,1947417,2020-09-30
SAL00244,EMP0145,519204,2024-05-16
SAL00245,EMP0145,573957,2025-06-24
SAL00246,EMP0146,2426065,2023-03-15
SAL00247,EMP0147,719039,2023-01-09
SAL00248,EMP0148,624083,2023-10-07
SAL00249,EMP0148,726056,2024-11-06
SAL00250,EMP0149,3658100,2022-04-11
SAL00251,EMP0149,4167702,2023-03-31
SAL00252,EMP0149,4753458,2024-05-10
SAL00253,EMP0150,726590,2018-12-11
SAL00254,EMP0150,839649,2019-10-08
SAL00255,EMP0151,792806,2018-12-30
SAL00256,EMP0151,868053,2019-11-27
SAL00257,EMP0151,986341,2020-10-16
SAL00258,EMP0152,676236,2023-05-17
SAL00259,EMP0152,791843,2024-03-21
SAL00260,EMP0153,1717334,2024-06-10
SAL00261,EMP0154,843841,2020-08-10
SAL00262,EMP0154,914036,2021-06-21
SAL00263,EMP0155,2008287,2021-03-10
SAL00264,EMP0156,1354460,2018-10-13
SAL00265,EMP0156,1528724,2019-11-25
SAL00266,EMP0156,1755678,2021-01-16
SAL00267,EMP0157,2069369,2021-09-11
SAL00268,EMP0158,780803,2019-12-27
SAL00269,EMP0158,847082,2021-01-10
SAL00270,EMP0159,453292,2023-07-04
SAL00271,EMP0159,514048,2024-08-27
SAL00272,EMP0160,660032,2020-02-22
SAL00273,EMP0161,630575,2018-03-18
SAL00274,EMP0162,843555,2024-09-14
SAL00275,EMP0163,591703,2024-07-14
SAL00276,EMP0164,604613,2022-09-29
SAL00277,EMP0164,696064,2023-09-23
SAL00278,EMP0165,479394,2018-04-14
SAL00279,EMP0166,938050,2021-07-14
SAL00280,EMP0166,1041928,2022-09-05
SAL00281,EMP0167,1967244,2020-12-09
SAL00282,EMP0167,2251036,2021-10-30
SAL00283,EMP0168,2321928,2024-09-13
SAL00284,EMP0169,1281336,2022-05-11
SAL00285,EMP0169,1478457,2023-06-06
SAL00286,EMP0169,1649289,2024-04-28
SAL00287,EMP0170,2069789,2023-11-18
SAL00288,EMP0170,2382002,2024-12-30
SAL00289,EMP0171,571263,2018-10-17
SAL00290,EMP0172,623898,2020-06-08
SAL00291,EMP0172,703899,2021-06-27
SAL00292,EMP0172,769501,2022-07-03
SAL00293,EMP0173,407364,2024-07-04
SAL00294,EMP0174,991921,2019-08-13
SAL00295,EMP0174,1109348,2020-06-10
SAL00296,EMP0175,1124916,2023-05-13
SAL00297,EMP0175,1276463,2024-04-14
SAL00298,EMP0176,1763395,2019-08-15
SAL00299,EMP0176,1967591,2020-07-08
SAL00300,EMP0177,1780298,2021-05-08
SAL00301,EMP0178,1956157,2021-10-28
SAL00302,EMP0178,2301597,2022-12-17
SAL00303,EMP0179,2079778,2020-06-21
SAL00304,EMP0179,2268103,2021-06-01
SAL00305,EMP0180,667910,2024-06-09
SAL00306,EMP0181,2043388,2023-01-31
SAL00307,EMP0181,2401886,2023-12-15
SAL00308,EMP0182,1230401,2019-08-29
SAL00309,EMP0183,620364,2021-07-30
SAL00310,EMP0183,715454,2022-07-20
SAL00311,EMP0183,796220,2023-07-30
SAL00312,EMP0184,2455583,2020-12-08
SAL00313,EMP0184,2720997,2021-11-09
SAL00314,EMP0185,527177,2021-09-08
SAL00315,EMP0185,575852,2022-10-30
SAL00316,EMP0185,659528,2023-11-09
SAL00317,EMP0186,511854,2022-01-04
SAL00318,EMP0186,556471,2023-02-13
SAL00319,EMP0187,1520604,2024-11-16
SAL00320,EMP0188,2434016,2021-12-18
SAL00321,EMP0188,2807520,2023-01-09
SAL00322,EMP0188,3259283,2023-12-15
SAL00323,EMP0189,534555,2022-04-24
SAL00324,EMP0190,1611529,2023-11-04
SAL00325,EMP0191,499875,2024-09-24
SAL00326,EMP0192,1089658,2019-04-15
SAL00327,EMP0192,1248838,2020-05-10
SAL00328,EMP0192,1354810,2021-04-14
SAL00329,EMP0193,898262,2018-10-21
SAL00330,EMP0194,899752,2024-05-18
SAL00331,EMP0194,1042499,2025-06-13
SAL00332,EMP0195,1465321,2023-06-01
SAL00333,EMP0196,828520,2018-08-27
SAL00334,EMP0197,577246,2021-05-03
SAL00335,EMP0198,2384744,2024-08-19
SAL00336,EMP0199,574560,2022-11-13
SAL00337,EMP0200,2018442,2023-02-24
SAL00338,EMP0201,2027784,2024-09-24
SAL00339,EMP0202,422965,2019-01-28
SAL00340,EMP0202,471563,2019-12-25
SAL00341,EMP0202,527396,2020-10-27
SAL00342,EMP0203,1699593,2018-03-09
SAL00343,EMP0204,2073697,2019-02-26
SAL00344,EMP0204,2439046,2019-12-29
SAL00345,EMP0205,826432,2019-06-15
SAL00346,EMP0205,943200,2020-06-02
SAL00347,EMP0205,1058824,2021-07-09
SAL00348,EMP0206,2437058,2023-01-04
SAL00349,EMP0207,1091107,2018-11-25
SAL00350,EMP0208,2463774,2020-08-01
SAL00351,EMP0209,709323,2021-06-12
SAL00352,EMP0209,831865,2022-04-29
SAL00353,EMP0210,2008970,2018-04-06
SAL00354,EMP0210,2238447,2019-03-25
SAL00355,EMP0211,560921,2024-01-18
SAL00356,EMP0211,636160,2025-01-17
SAL00357,EMP0212,695280,2023-01-20
SAL00358,EMP0213,1565693,2024-12-17
SAL00359,EMP0214,573740,2018-09-26
SAL00360,EMP0215,510785,2019-02-05
SAL00361,EMP0215,586690,2020-01-20
SAL00362,EMP0216,700059,2018-01-16
SAL00363,EMP0216,817131,2019-02-27
SAL00364,EMP0217,532638,2023-10-13
SAL00365,EMP0217,619719,2024-10-12
SAL00366,EMP0218,1518461,2019-07-27
SAL00367,EMP0219,2318196,2024-05-01
SAL00368,EMP0219,2631836,2025-03-14
SAL00369,EMP0220,589364,2020-09-30
SAL00370,EMP0220,677915,2021-11-01
