assignment_id,employee_id,project_id,role,hours_allocated
AS00148,EMP0199,PROJ0027,Contributor,21
AS00149,EMP0022,PROJ0027,Lead,398
AS00150,EMP0041,PROJ0027,Reviewer,307
AS00151,EMP0020,PROJ0027,Contributor,171
AS00152,EMP0150,PROJ0027,Contributor,349
AS00153,EMP0039,PROJ0027,Contributor,298
AS00154,EMP0086,PROJ0027,Reviewer,300
AS00155,EMP0074,PROJ0028,Coordinator,284
AS00156,EMP0050,PROJ0028,Reviewer,118
AS00157,EMP0117,PROJ0028,Reviewer,111
AS00158,EMP0055,PROJ0028,Contributor,148
AS00159,EMP0008,PROJ0029,Lead,317
AS00160,EMP0106,PROJ0029,Coordinator,90
AS00161,EMP0042,PROJ0029,Reviewer,372
AS00162,EMP0038,PROJ0029,Coordinator,248
AS00163,EMP0054,PROJ0029,Contributor,262
AS00164,EMP0058,PROJ0029,Reviewer,72
AS00165,EMP0183,PROJ0029,Contributor,263
AS00166,EMP0038,PROJ0030,Contributor,298
AS00167,EMP0185,PROJ0030,Reviewer,96
AS00168,EMP0078,PROJ0030,Contributor,147
AS00169,EMP0054,PROJ0030,Lead,246
AS00170,EMP0154,PROJ0030,Lead,92
AS00171,EMP0171,PROJ0030,Reviewer,76
AS00172,EMP0084,PROJ0030,Lead,37
AS00173,EMP0206,PROJ0031,Coordinator,214
AS00174,EMP0075,PROJ0031,Reviewer,52
AS00175,EMP0220,PROJ0031,Contributor,319
AS00176,EMP0125,PROJ0032,Lead,320
AS00177,EMP0042,PROJ0032,Coordinator,363
AS00178,EMP0075,PROJ0032,Reviewer,366
AS00179,EMP0058,PROJ0032,Contributor,29
AS00180,EMP0067,PROJ0032,Contributor,386
AS00181,EMP0080,PROJ0032,Lead,241
AS00182,EMP0171,PROJ0032,Reviewer,258
AS00183,EMP0183,PROJ0032,Contributor,211
AS00184,EMP0218,PROJ0033,Contributor,384
AS00185,EMP0080,PROJ0033,Lead,349
AS00186,EMP0042,PROJ0033,Contributor,147
